Product,Issue,Sub-issue,Consumer complaint narrative
Mortgage,Struggling to pay mortgage,"An existing modification, forbearance plan, short sale, or other loss mitigation relief","Dear Consumer Financial Protection Bureau, I am writing to file a formal complaint against JPMorgan Chase and XXXX XXXX XXXX for their handling of my mortgage assistance application and subsequent predatory practices. 
My husband and I were owners of a business that was severely impacted by the pandemic. While we faced financial struggles as a result, we were not financially irresponsible. We submitted an application for mortgage assistance and forbearance to JPMorgan Chase, both via email and by personally delivering it to the bank. Despite this, JPMorgan Chase failed to review, process, or even acknowledge the application. This neglect is particularly concerning given that the bank was aware we were considering filing for bankruptcy due to our circumstances. 
Instead of fulfilling their legal obligation to review and respond to our application, JPMorgan Chase sold our mortgage to XXXX XXXX XXXX, a company with predatory practices. This sale appears to have been conducted in bad faith, allowing JPMorgan Chase to profit while avoiding their responsibilities under the law. 
XXXX XXXX XXXX, in turn, charged us daily interest on the loan for the duration of the forbearance period without proper disclosure. We were not notified of these interest charges until after we sold our home. This lack of transparency and the financial burden it created exacerbated the challenges we were already facing, forcing us further into financial distress. 
Both JPMorgan Chase and XXXX XXXX XXXX failed to meet their legal and ethical obligations : Failure to Process Application : JPMorgan Chase was obligated to review and either approve or deny our application for forbearance. Their neglect to do so constitutes a breach of their responsibilities. 
Lack of Disclosure by XXXX XXXX XXXX : XXXX XXXX XXXX failed to notify us of daily interest charges during the forbearance period, a violation of transparency requirements and consumer protection standards. 
Predatory Practices : The deliberate sale of our mortgage to XXXX XXXX XXXX appears to have been a calculated effort by JPMorgan Chase to profit at our expense, transferring us to a lender known for exploitative practices. 
The hardship of navigating bankruptcy, compounded by these actions, has caused significant financial and emotional distress. Both institutions leveraged legal loopholes to exploit our situation, underscoring the urgent need for stronger consumer protections for individuals in financial crisis. 
I am requesting that the Consumer Financial Protection Bureau investigate this matter and hold both JPMorgan Chase and XXXX XXXX XXXX accountable for their actions. Specifically, I urge the Bureau to : Determine whether JPMorgan Chase violated its obligations in failing to process our application. 
Investigate XXXX XXXX XXXX for its lack of transparency and predatory interest-charging practices. 
Enforce penalties and require restitution for the financial harm caused by these actions. 
Additionally, both lenders now refuse to close my accounts after our home has sold and the loan ( s ) paid off. Chase still says they hold the loan even though XXXX is the loan servicer. 
Thank you for your attention to this serious matter. 
Sincerely, XXXX XXXX"
Credit card,Getting a credit card,Card opened without my consent or knowledge,
Credit card,Struggling to pay your bill,Credit card company won't work with you while you're going through financial hardship,
Mortgage,Closing on a mortgage,Trying to communicate with the company to fix an issue with the loan closing,
Credit card,Fees or interest,Charged too much interest,"Capital One XXXXXXXX - Acct # : XXXX Capital One has been charging interest on total amount of the balance ( including late fees and interest ) to my account month after month. It clearly states that interest is only charged on items purchased and the unpaid balance each month. This company has been adding the previous balance + all service fees to calculate the interest each month. I have also been charged fees on cash advances which I have NEVER made. 
I appreciate your attentioni in correcting this matter as it continues to damage my credit score. 

XXXX XXXX"
Debt collection,Written notification about debt,Didn't receive notice of right to dispute,"I returned cable equipment, but they are still charging"
Debt collection,Written notification about debt,Didn't receive enough information to verify debt,
Debt collection,Electronic communications,"You told them to stop contacting you, but they keep trying",This company will call or text at any time and day of the week even after I have repeatedly told them to put me on no call list of to stop contacting me.
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Credit card,"Other features, terms, or problems",Other problem,
Debt collection,Communication tactics,Frequent or repeated calls,The caller is not giving any info on who they are. The caller keeps stating they are trying to serve me legal documents and gives an exact time/date that they will be coming to my home to serve me. The caller states if I'm not at home they will show up to my place of employment.
